Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................ 400.0 m2 
  MAIN WING SWEEP ...............   0.0 deg
  MAIN WING THICKNESS RATIO .....  0.10    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.800 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00004 | 0.00011 | 0.00026 | 0.00060 | 0.00133 | 
-----------------------------------------------------------------------------------------------------------------------
 VERTICAL_STABILIZER  ( t/c: 0.080 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00022 | 0.00054 | 0.00124 | 0.00274 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00022 | 0.00054 | 0.00124 | 0.00274 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00022 | 0.00054 | 0.00124 | 0.00274 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00022 | 0.00054 | 0.00124 | 0.00274 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00022 | 0.00054 | 0.00124 | 0.00274 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00022 | 0.00054 | 0.00124 | 0.00274 | 
 0.600 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00022 | 0.00054 | 0.00124 | 0.00274 | 
 0.650 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00022 | 0.00054 | 0.00124 | 0.00274 | 
 0.700 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00022 | 0.00054 | 0.00124 | 0.00274 | 
 0.750 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00022 | 0.00054 | 0.00124 | 0.00274 | 
 0.800 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00022 | 0.00054 | 0.00124 | 0.00274 | 
-----------------------------------------------------------------------------------------------------------------------

 Saturday, 14. May 2016 10:46:48 AM
